Département;A : AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX;B : ARTS ET FACONNAGE D'OUVRAGES D'ART;C : BANQUE, ASSURANCE, IMMOBILIER;D : COMMERCE, VENTE ET GRANDE DISTRIBUTION;E : COMMUNICATION, MEDIA ET MULTIMEDIA;F : CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS;G : HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION;H : INDUSTRIE;I : INSTALLATION ET MAINTENANCE;J : SANTE;K : SERVICES A LA PERSONNE ET A LA COLLECTIVITE;L : SPECTACLE;M : SUPPORT A L'ENTREPRISE;N : TRANSPORT ET LOGISTIQUE
Dordogne ;160;10;20;400;70;450;730;280;210;190;460;0;170;240
Doubs ;70;20;70;700;80;430;700;650;390;240;850;0;420;390
Drôme ;460;40;80;1 350;30;680;610;820;510;260;940;20;540;640
Eure ;110;10;40;510;10;430;330;500;280;160;610;0;360;360
Eure-et-Loir ;70;0;70;450;30;300;260;410;230;120;370;0;210;270
Finistère ;490;10;80;1 070;40;1 100;1 790;1 020;450;550;1 250;10;500;420
Corse-du-Sud A;80;0;20;430;10;220;1 070;40;140;50;180;0;100;270
Haute-Corse B;240;0;10;400;10;220;760;40;130;60;180;0;110;130
Gard ;1 540;10;130;960;20;690;1 110;720;410;360;1 040;10;560;640
Haute-Garonne ;330;10;390;3 120;160;2 830;2 060;2 240;2 140;1 130;3 600;20;2 890;2 200
Gers ;220;0;10;250;10;190;180;250;120;130;210;0;140;120
Gironde ;1 840;80;720;3 830;180;3 430;3 010;1 890;1 800;1 110;4 160;30;2 710;2 250
Hérault ;310;10;270;2 610;140;1 960;2 690;810;1 130;770;2 500;20;1 530;1 050
Ille-et-Vilaine ;260;50;160;2 350;80;1 340;1 710;1 140;720;1 010;2 270;10;1 080;1 130
Indre ;50;0;10;220;0;140;180;200;110;140;190;0;130;150
Indre-et-Loire ;200;10;270;840;20;790;1 050;430;580;370;1 350;30;730;420
Isère ;460;60;260;1 540;70;1 280;1 420;1 730;1 070;630;2 630;30;1 340;1 560
Jura ;70;10;10;340;10;170;410;160;110;140;320;0;190;130
Landes ;230;10;30;680;150;650;1 100;550;370;170;530;10;230;430
Loir-et-Cher ;150;0;20;320;10;190;430;340;130;190;360;0;210;170
Loire ;150;40;100;1 470;20;630;820;1 010;570;430;1 010;10;500;480
Haute-Loire ;70;10;30;270;10;220;250;310;90;130;170;0;120;120
Loire-Atlantique ;430;20;380;2 830;80;2 220;2 690;2 470;1 720;1 100;3 320;30;1 990;1 660
Loiret ;190;10;130;1 170;80;460;440;720;380;280;1 020;0;740;760
Lot ;80;0;20;180;10;260;500;270;170;160;220;0;110;140
Lot-et-Garonne ;480;0;30;470;20;350;470;470;430;150;350;0;300;380
Lozère ;40;0;0;50;0;60;240;60;30;80;130;0;40;50
Maine-et-Loire ;480;30;80;1 160;40;790;930;1 180;580;530;1 700;10;650;650
Manche ;170;40;40;580;20;710;610;800;360;220;550;0;280;370
Marne ;310;0;140;1 180;20;540;500;530;480;250;880;0;530;450
Haute-Marne ;80;0;20;130;10;100;150;210;90;70;230;0;80;120
Mayenne ;90;0;20;480;20;270;220;760;200;140;400;0;280;340
Meurthe-et-Moselle ;180;10;120;1 050;30;430;610;420;400;370;1 300;10;600;510
Meuse ;30;0;10;130;0;100;130;110;90;90;240;0;100;100
Morbihan ;230;20;50;1 900;30;820;1 560;1 080;500;310;1 250;0;460;560
Moselle ;230;10;100;1 520;40;1 220;1 120;990;740;540;1 760;0;810;990
Nièvre ;50;0;10;120;20;120;120;110;80;120;210;0;100;90
Nord ;300;50;360;6 450;220;2 060;1 810;2 510;1 730;820;3 470;40;5 400;1 930
Oise ;90;20;40;770;40;440;520;470;340;220;1 110;10;410;590
Orne ;100;0;20;250;10;150;160;280;120;160;310;0;180;140
Pas-de-Calais ;150;10;110;1 090;40;1 080;1 090;970;520;460;1 320;10;520;970
Puy-de-Dôme ;170;20;110;1 010;50;690;920;620;390;340;990;10;510;520
Pyrénées-Atlantiques ;190;30;100;840;30;760;1 390;480;500;500;1 320;10;530;430
Hautes-Pyrénées ;50;10;20;310;0;170;780;130;120;210;350;0;120;140
Pyrénées-Orientales ;110;10;40;790;30;360;1 110;170;290;200;540;10;220;260
Bas-Rhin ;150;30;90;1 380;50;880;1 180;760;580;570;1 810;10;1 030;860
Haut-Rhin ;250;10;40;870;30;710;750;540;490;400;1 080;0;530;370
Rhône ;350;60;560;3 870;180;2 210;2 170;2 540;2 710;1 210;7 190;60;3 860;1 980
Haute-Saône ;30;0;20;170;0;160;130;250;90;80;220;0;100;170
Saône-et-Loire ;160;50;40;630;20;490;530;460;520;280;620;0;310;310
Sarthe ;210;20;40;730;60;440;470;920;330;240;1 220;10;500;540
Savoie ;170;10;70;840;90;980;1 390;730;490;190;1 690;0;480;530
Haute-Savoie ;310;10;140;1 410;70;930;2 270;910;650;580;1 730;10;830;780
Paris ;180;70;1 730;5 250;300;4 540;2 720;2 230;6 390;640;7 130;930;7 620;1 720
Seine-Maritime ;200;10;200;1 130;30;1 080;960;820;680;400;1 620;10;950;800
Seine-et-Marne ;150;60;60;910;30;780;770;700;720;310;1 130;70;660;1 250
Yvelines ;160;10;170;1 120;100;550;1 150;610;600;230;1 460;20;5 030;640
Deux-Sèvres ;130;10;60;430;20;370;370;560;280;220;510;0;350;390
Somme ;100;30;50;590;50;330;500;470;290;130;820;10;280;540
Tarn ;120;10;30;360;70;300;360;260;130;300;490;0;230;230
Tarn-et-Garonne ;240;0;10;290;80;260;170;180;150;110;270;0;110;250
Var ;510;20;100;1 740;120;1 340;3 300;370;780;500;2 420;10;740;920
Vaucluse ;530;0;60;1 060;40;830;960;510;550;340;970;10;560;880
Vendée ;480;10;70;1 030;150;790;1 650;1 150;480;460;1 300;20;450;1 130
Vienne ;220;10;140;840;50;590;660;650;420;420;920;10;640;340
Haute-Vienne ;70;40;20;360;40;330;280;270;220;140;420;10;230;290
Vosges ;100;10;30;420;30;310;450;290;160;120;390;0;240;230
Yonne ;80;20;30;280;40;270;380;630;250;160;320;0;210;350
Territoire de Belfort ;0;0;10;150;10;110;90;220;60;40;170;0;120;140
Essonne ;150;0;60;1 480;30;560;700;530;620;360;1 460;10;930;1 830
Hauts-de-Seine ;130;50;560;2 280;140;790;760;910;1 410;1 330;2 470;210;2 990;580
Seine-Saint-Denis ;40;10;200;1 720;90;880;670;860;1 230;230;1 500;70;1 330;1 110
Val-de-Marne ;60;10;80;1 300;40;460;750;380;490;210;1 240;20;1 230;710
Val-d'Oise ;70;10;50;510;70;460;420;360;440;180;1 010;10;590;810
Guadeloupe ;60;0;30;400;10;180;280;40;180;40;160;0;230;160
Martinique ;60;0;20;300;230;200;330;40;100;70;250;0;210;70
Guyane ;30;0;20;180;240;100;150;20;70;50;300;0;160;30
La Réunion ;320;10;90;1 170;440;770;1 020;200;450;150;1 210;10;610;360
