Département;A : AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX;B : ARTS ET FACONNAGE D'OUVRAGES D'ART;C : BANQUE, ASSURANCE, IMMOBILIER;D : COMMERCE, VENTE ET GRANDE DISTRIBUTION;E : COMMUNICATION, MEDIA ET MULTIMEDIA;F : CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS;G : HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION;H : INDUSTRIE;I : INSTALLATION ET MAINTENANCE;J : SANTE;K : SERVICES A LA PERSONNE ET A LA COLLECTIVITE;L : SPECTACLE;M : SUPPORT A L'ENTREPRISE;N : TRANSPORT ET LOGISTIQUE
Ain ;140;20;50;800;90;610;610;750;410;390;990;0;430;500
Aisne ;130;0;30;340;10;460;220;390;230;150;530;10;220;270
Allier ;70;20;30;290;10;250;370;280;110;150;310;10;160;170
Alpes-de-Haute-Provence ;90;0;10;220;10;70;350;90;90;110;160;0;130;100
Hautes-Alpes ;50;0;20;200;10;210;460;50;100;120;290;0;120;110
Alpes-Maritimes ;220;100;240;2 100;120;1 240;2 440;850;890;920;2 130;10;2 200;940
Ardèche ;150;10;10;280;20;260;680;260;150;240;430;0;190;210
Ardennes ;80;60;10;300;10;160;150;280;110;70;200;0;120;100
Ariège ;40;0;10;180;10;310;200;150;140;90;190;0;160;130
Aube ;100;10;30;300;10;330;280;410;220;150;450;10;310;210
Aude ;150;10;70;520;20;460;730;200;230;160;510;0;200;310
Aveyron ;100;20;30;330;20;270;390;380;130;270;330;0;210;210
Bouches-du-Rhône ;830;40;610;6 460;110;2 820;3 260;1 710;1 910;1 200;4 300;30;3 070;2 280
Calvados ;210;40;50;860;30;830;1 200;590;470;310;1 150;10;520;760
Cantal ;30;0;0;130;10;80;220;60;50;110;150;0;80;50
Charente ;220;10;30;530;40;370;370;290;240;190;350;0;230;240
Charente-Maritime ;360;10;70;1 140;50;880;2 230;520;500;420;1 030;10;390;420
Cher ;140;10;10;410;10;220;370;260;110;120;280;0;170;200
Corrèze ;100;0;20;190;10;170;300;190;90;140;260;0;150;170
Côte-d'Or ;210;0;160;640;30;650;750;540;470;270;780;0;630;390
Côtes-d'Armor ;320;10;40;620;140;660;840;600;320;390;800;0;410;470
Creuse ;30;0;10;100;0;90;150;70;50;80;140;0;60;70
